rec,date,U,H,F,D,B,ms,ns
0,1997-12,1,0,0,0,0,U,1
0,1998-01,1,0,0,0,0,U,1
0,1998-02,1,0,0,0,0,U,1
0,1998-03,1,0,0,0,0,U,1
0,1998-04,1,0,0,0,0,U,1
0,1998-05,1,0,0,0,0,U,1
0,1998-06,1,0,0,0,0,U,1
0,1998-07,1,0,0,0,0,U,1
0,1998-08,1,0,0,0,0,U,1
0,1998-09,0,0,0,0,1,B,4
0,1998-10,1,0,0,0,0,U,1
0,1998-11,1,0,0,0,0,U,1
0,1998-12,0,0,0,0,1,B,4
0,1999-01,1,0,0,0,0,U,1
0,1999-02,1,0,0,0,0,U,1
0,1999-03,1,0,0,0,0,U,1
0,1999-04,1,0,0,0,0,U,1
0,1999-05,1,0,0,0,0,U,1
0,1999-06,1,0,0,0,0,U,1
0,1999-07,1,0,0,0,0,U,1
0,1999-08,1,0,0,0,0,U,1
0,1999-09,1,0,0,0,0,U,1
0,1999-10,1,0,0,0,0,U,1
0,1999-11,1,0,0,0,0,U,1
0,1999-12,1,0,0,0,0,U,1
