"","date","U","H","F","D","B","Shape","ns"
"432","1989-03",0,1,0,0,0,"H","2"
"433","1989-04",0,1,0,0,0,"H","2"
"434","1989-05",0,1,0,0,0,"H","2"
"435","1989-06",0,0,1,0,0,"F","5"
"436","1989-07",0,0,0,0,1,"B","4"
"437","1989-08",0,0,1,0,0,"F","5"
"438","1989-09",0,1,0,0,0,"H","2"
"439","1989-10",0,0,1,0,0,"F","5"
"440","1989-11",0,0,1,0,0,"F","5"
"441","1989-12",0,0,1,0,0,"F","5"
"442","1990-01",1,0,0,0,0,"U","1"
"443","1990-02",1,0,0,0,0,"U","1"
"444","1990-03",0,1,0,0,0,"H","2"
"445","1990-04",1,0,0,0,0,"U","1"
"446","1990-05",1,0,0,0,0,"U","1"
"447","1990-06",1,0,0,0,0,"U","1"
"448","1990-07",1,0,0,0,0,"U","1"
"449","1990-08",1,0,0,0,0,"U","1"
"450","1990-09",1,0,0,0,0,"U","1"
"451","1990-10",1,0,0,0,0,"U","1"
"452","1990-11",1,0,0,0,0,"U","1"
"453","1990-12",1,0,0,0,0,"U","1"
"454","1991-01",1,0,0,0,0,"U","1"
"455","1991-02",1,0,0,0,0,"U","1"
"456","1991-03",1,0,0,0,0,"U","1"
"457","1991-04",1,0,0,0,0,"U","1"
"458","1991-05",1,0,0,0,0,"U","1"
"459","1991-06",1,0,0,0,0,"U","1"
"460","1991-07",1,0,0,0,0,"U","1"
"461","1991-08",1,0,0,0,0,"U","1"
"462","1991-09",1,0,0,0,0,"U","1"
"463","1991-10",1,0,0,0,0,"U","1"
"464","1991-11",1,0,0,0,0,"U","1"
"465","1991-12",1,0,0,0,0,"U","1"
"466","1992-01",1,0,0,0,0,"U","1"
"467","1992-02",1,0,0,0,0,"U","1"
"468","1992-03",1,0,0,0,0,"U","1"
"469","1992-04",1,0,0,0,0,"U","1"
"470","1992-05",1,0,0,0,0,"U","1"
"471","1992-06",1,0,0,0,0,"U","1"
"472","1992-07",1,0,0,0,0,"U","1"
"473","1992-08",1,0,0,0,0,"U","1"
"474","1992-09",1,0,0,0,0,"U","1"
"475","1992-10",1,0,0,0,0,"U","1"
"476","1992-11",1,0,0,0,0,"U","1"
"477","1992-12",1,0,0,0,0,"U","1"
"478","1993-01",1,0,0,0,0,"U","1"
"479","1993-02",1,0,0,0,0,"U","1"
"480","1993-03",1,0,0,0,0,"U","1"
"481","1993-04",1,0,0,0,0,"U","1"
"482","1993-05",1,0,0,0,0,"U","1"
"483","1993-06",1,0,0,0,0,"U","1"
"484","1993-07",1,0,0,0,0,"U","1"
"485","1993-08",1,0,0,0,0,"U","1"
"486","1993-09",1,0,0,0,0,"U","1"
"487","1993-10",1,0,0,0,0,"U","1"
"488","1993-11",1,0,0,0,0,"U","1"
"489","1993-12",1,0,0,0,0,"U","1"
"490","1994-01",1,0,0,0,0,"U","1"
"491","1994-02",1,0,0,0,0,"U","1"
"492","1994-03",1,0,0,0,0,"U","1"
"493","1994-04",1,0,0,0,0,"U","1"
"494","1994-05",1,0,0,0,0,"U","1"
"495","1994-06",1,0,0,0,0,"U","1"
"496","1994-07",1,0,0,0,0,"U","1"
"497","1994-08",1,0,0,0,0,"U","1"
"498","1994-09",1,0,0,0,0,"U","1"
"499","1994-10",1,0,0,0,0,"U","1"
"500","1994-11",1,0,0,0,0,"U","1"
"501","1994-12",1,0,0,0,0,"U","1"
"502","1995-01",1,0,0,0,0,"U","1"
"503","1995-02",1,0,0,0,0,"U","1"
"504","1995-03",1,0,0,0,0,"U","1"
"505","1995-04",1,0,0,0,0,"U","1"
"506","1995-05",1,0,0,0,0,"U","1"
"507","1995-06",1,0,0,0,0,"U","1"
"508","1995-07",1,0,0,0,0,"U","1"
"509","1995-08",1,0,0,0,0,"U","1"
"510","1995-09",1,0,0,0,0,"U","1"
"511","1995-10",1,0,0,0,0,"U","1"
"512","1995-11",1,0,0,0,0,"U","1"
"513","1995-12",1,0,0,0,0,"U","1"
"514","1996-01",1,0,0,0,0,"U","1"
"515","1996-02",1,0,0,0,0,"U","1"
"516","1996-03",1,0,0,0,0,"U","1"
"517","1996-04",1,0,0,0,0,"U","1"
"518","1996-05",1,0,0,0,0,"U","1"
"519","1996-06",1,0,0,0,0,"U","1"
"520","1996-07",1,0,0,0,0,"U","1"
"521","1996-08",1,0,0,0,0,"U","1"
"522","1996-09",1,0,0,0,0,"U","1"
"523","1996-10",1,0,0,0,0,"U","1"
"524","1996-11",1,0,0,0,0,"U","1"
"525","1996-12",1,0,0,0,0,"U","1"
"526","1997-01",1,0,0,0,0,"U","1"
"527","1997-02",1,0,0,0,0,"U","1"
"528","1997-03",1,0,0,0,0,"U","1"
"529","1997-04",1,0,0,0,0,"U","1"
"530","1997-05",1,0,0,0,0,"U","1"
"531","1997-06",1,0,0,0,0,"U","1"
"532","1997-07",1,0,0,0,0,"U","1"
"533","1997-08",1,0,0,0,0,"U","1"
"534","1997-09",1,0,0,0,0,"U","1"
"535","1997-10",1,0,0,0,0,"U","1"
"536","1997-11",1,0,0,0,0,"U","1"
"537","1997-12",1,0,0,0,0,"U","1"
"538","1998-01",1,0,0,0,0,"U","1"
"539","1998-02",1,0,0,0,0,"U","1"
"540","1998-03",1,0,0,0,0,"U","1"
"541","1998-04",1,0,0,0,0,"U","1"
"542","1998-05",1,0,0,0,0,"U","1"
"543","1998-06",1,0,0,0,0,"U","1"
"544","1998-07",1,0,0,0,0,"U","1"
"545","1998-08",1,0,0,0,0,"U","1"
"546","1998-09",0,0,0,0,1,"B","4"
"547","1998-10",1,0,0,0,0,"U","1"
