,date,U,H,F,D,B,ms,ns
504,1986-12,1,0,0,0,0,U,1
505,1987-01,1,0,0,0,0,U,1
506,1987-02,1,0,0,0,0,U,1
507,1987-03,1,0,0,0,0,U,1
508,1987-04,1,0,0,0,0,U,1
509,1987-05,1,0,0,0,0,U,1
510,1987-06,1,0,0,0,0,U,1
511,1987-07,1,0,0,0,0,U,1
512,1987-08,1,0,0,0,0,U,1
513,1987-09,1,0,0,0,0,U,1
514,1987-10,1,0,0,0,0,U,1
515,1987-11,1,0,0,0,0,U,1
516,1987-12,1,0,0,0,0,U,1
517,1988-01,1,0,0,0,0,U,1
518,1988-02,1,0,0,0,0,U,1
519,1988-03,1,0,0,0,0,U,1
520,1988-04,1,0,0,0,0,U,1
521,1988-05,1,0,0,0,0,U,1
522,1988-06,1,0,0,0,0,U,1
523,1988-07,1,0,0,0,0,U,1
524,1988-08,1,0,0,0,0,U,1
525,1988-09,1,0,0,0,0,U,1
526,1988-10,1,0,0,0,0,U,1
527,1988-11,1,0,0,0,0,U,1
528,1988-12,0,1,0,0,0,H,2
529,1989-01,0,1,0,0,0,H,2
530,1989-02,0,1,0,0,0,H,2
531,1989-03,0,1,0,0,0,H,2
532,1989-04,0,1,0,0,0,H,2
533,1989-05,0,1,0,0,0,H,2
534,1989-06,0,0,1,0,0,F,5
535,1989-07,0,0,0,0,1,B,4
536,1989-08,0,0,1,0,0,F,5
537,1989-09,0,1,0,0,0,H,2
538,1989-10,0,0,1,0,0,F,5
539,1989-11,0,0,1,0,0,F,5
540,1989-12,0,0,1,0,0,F,5
541,1990-01,1,0,0,0,0,U,1
542,1990-02,1,0,0,0,0,U,1
543,1990-03,0,1,0,0,0,H,2
544,1990-04,1,0,0,0,0,U,1
545,1990-05,1,0,0,0,0,U,1
546,1990-06,1,0,0,0,0,U,1
547,1990-07,1,0,0,0,0,U,1
548,1990-08,1,0,0,0,0,U,1
549,1990-09,1,0,0,0,0,U,1
550,1990-10,1,0,0,0,0,U,1
551,1990-11,1,0,0,0,0,U,1
552,1990-12,1,0,0,0,0,U,1
553,1991-01,1,0,0,0,0,U,1
554,1991-02,1,0,0,0,0,U,1
555,1991-03,1,0,0,0,0,U,1
556,1991-04,1,0,0,0,0,U,1
557,1991-05,1,0,0,0,0,U,1
558,1991-06,1,0,0,0,0,U,1
559,1991-07,1,0,0,0,0,U,1
560,1991-08,1,0,0,0,0,U,1
561,1991-09,1,0,0,0,0,U,1
562,1991-10,1,0,0,0,0,U,1
563,1991-11,1,0,0,0,0,U,1
564,1991-12,1,0,0,0,0,U,1
565,1992-01,1,0,0,0,0,U,1
566,1992-02,1,0,0,0,0,U,1
567,1992-03,1,0,0,0,0,U,1
568,1992-04,1,0,0,0,0,U,1
569,1992-05,1,0,0,0,0,U,1
570,1992-06,1,0,0,0,0,U,1
571,1992-07,1,0,0,0,0,U,1
572,1992-08,1,0,0,0,0,U,1
573,1992-09,1,0,0,0,0,U,1
574,1992-10,1,0,0,0,0,U,1
575,1992-11,1,0,0,0,0,U,1
576,1992-12,1,0,0,0,0,U,1
577,1993-01,1,0,0,0,0,U,1
578,1993-02,1,0,0,0,0,U,1
579,1993-03,1,0,0,0,0,U,1
580,1993-04,1,0,0,0,0,U,1
581,1993-05,1,0,0,0,0,U,1
582,1993-06,1,0,0,0,0,U,1
583,1993-07,1,0,0,0,0,U,1
584,1993-08,1,0,0,0,0,U,1
585,1993-09,1,0,0,0,0,U,1
586,1993-10,1,0,0,0,0,U,1
587,1993-11,1,0,0,0,0,U,1
588,1993-12,1,0,0,0,0,U,1
